이수구분,과목명,과목코드
루트교양 ,글로벌English1 ,12979 
루트교양 ,글쓰기 ,00201 
루트교양 ,발표와토론 ,00202 
루트교양 ,컴퓨터적사고 ,14658 
루트교양 ,창의적사고와문제해결 ,14659 
루트교양 ,고전읽기와쓰기 ,14674 
루트교양 ,현대인과사회적영성 ,14655 
루트교양 ,글로벌English2 ,12987 
엘림교양,채플 ,00024 
엘림교양,아가페인문학 ,14650 
엘림교양,대학생활설계 ,00192 
스템교양 ,철학의이해 ,00001 
스템교양 ,수학1 ,00005 
스템교양 ,문학의이해 ,00029 
스템교양 ,일반물리 ,00033 
스템교양 ,심리학 ,00049 
스템교양 ,매스컴과현대사회 ,00056 
스템교양 ,세계문화의이해 ,00062 
스템교양 ,일본문화의이해 ,00080 
스템교양 ,중국문화의이해 ,00081 
스템교양 ,여성학의이해 ,00101 
스템교양 ,자연과학 ,00106 
스템교양 ,과학과인간 ,00121 
스템교양 ,일반생물학 ,00124 
스템교양 ,일반화학 ,00133 
스템교양 ,한국전통문화의이해 ,00151 
스템교양 ,불어 ,00169 
스템교양 ,독일어 ,00170 
스템교양 ,기초통계학 ,00208 
스템교양 ,우리이야기와문화컨텐츠 ,00226 
스템교양 ,천안의이해 ,08325 
스템교양 ,사회학개론 ,09115 
스템교양 ,세계사 ,09117 
스템교양 ,색채론 ,10134 
스템교양 ,한국사 ,11543 
스템교양 ,기초중국어 ,13307 
스템교양 ,글로벌시대의 다문화 ,13313 
스템교양 ,동양문화사 ,13314 
스템교양 ,서양문화사 ,13315 
스템교양 ,WEB디자인과 프로그램 기초 ,13317 
스템교양 ,기초일본어 ,13321 
스템교양 ,기초토익 ,13347 
스템교양 ,만화개론 ,13403 
스템교양 ,자기관리와 비전설정 ,13407 
스템교양 ,글로벌Chinese1 ,13647 
스템교양 ,글로벌Japanese1 ,13649 
스템교양 ,베트남어회화 ,13659 
스템교양 ,갈등관리와협상 ,13886 
스템교양 ,경제의이해 ,13888 
스템교양 ,고령사회의이해 ,13889 
스템교양 ,대중속의클래식 ,13890 
스템교양 ,기독교세계관 ,13892 
스템교양 ,동양철학의이해 ,13895 
스템교양 ,빅데이터와세상읽기 ,13899 
스템교양 ,서양철학의이해 ,13902 
스템교양 ,세계문학읽기 ,13903 
스템교양 ,세상을움직이는소통의이해 ,13905 
스템교양 ,실용음악의이해 ,13908 
스템교양 ,인류학의이해 ,13910 
스템교양 ,정치학의이해 ,13912 
스템교양 ,지식인과한국정치 ,13914 
스템교양 ,철학과윤리 ,13917 
스템교양 ,논리적사고 ,13921 
스템교양 ,역사의이해 ,13922 
스템교양 ,인터넷방송의이해 ,13975 
스템교양 ,디지털융합콘텐츠의이해 ,14457 
스템교양 ,아시아공동체론 ,14458 
스템교양 ,창의적사고와코딩 ,14511 
스템교양 ,충남학의이해 ,14517 
스템교양 ,세상을바꾸는가상현실 ,14580 
스템교양 ,기독교윤리와사회적책임 ,14643 
스템교양 ,대학영문법 ,14644 
스템교양 ,동양고전과삶의지혜 ,14646 
스템교양 ,문명속의수학이야기 ,14647 
스템교양 ,문학과예술의사회사 ,14648 
스템교양 ,수학속의논리이야기 ,14649 
스템교양 ,영문독해 ,14651 
스템교양 ,인간발달과융합적사고 ,14653 
스템교양 ,창의적상상력과예술 ,14654 
스템교양 ,행복론 ,14657 
스템교양 ,데이터기반미래예측이야기 ,14660 
스템교양 ,시민사회와법 ,14661 
스템교양 ,현대시의이해와감상 ,14662 
스템교양 ,세포의전쟁 ,14664 
스템교양 ,물질과생명 ,14665 
스템교양 ,유전과사회 ,14666 
스템교양 ,음악사 ,14667 
스템교양 ,기술의발전과인류의문명 ,14671 
스템교양 ,디지털기술과금융 ,14911 
스템교양 ,문학과예술속의수학이론 ,14912 
스템교양 ,동서양문화이야기 ,16911 
스템교양 ,인터넷마케팅 ,31120 
스템교양 ,리더십론 ,32162 
스템교양 ,영문법 ,41009 
스템교양 ,일본의이해 ,42177 
스템교양 ,미래사회와융합적사고 ,20023 
스템교양 ,수학2 ,00017 
스템교양 ,삶과죽음 ,14656 
스템교양 ,평생교육프로그램개발론 ,13344 
스템교양 ,미래사회와시장경제 ,14672 
스템교양 ,글로벌Japanese2 ,13650 
스템교양 ,글로벌Chinese2 ,13648 
엘림교양,생활한자의이해 ,00008 
엘림교양,테니스 ,00054 
엘림교양,골프 ,00065 
엘림교양,교양합창1 ,00096 
엘림교양,초급토익 ,00099 
엘림교양,기초영어어휘 ,00105 
엘림교양,기초영작문 ,00123 
엘림교양,배드민턴 ,00128 
엘림교양,탁구 ,00129 
엘림교양,스쿼시 ,00131 
엘림교양,평생교육론 ,00144 
엘림교양,평생교육론 ,00144 
엘림교양,중급영어회화어 ,00155 
엘림교양,e-비즈니스영어 ,00156 
엘림교양,미술치료 ,00193 
엘림교양,교양체육[수영] ,08100 
엘림교양,생활과디자인 ,09116 
엘림교양,비즈니스데이터관리[MOS] ,10006 
엘림교양,비즈니스프리젠테이션[MOS] ,10007 
엘림교양,대학생활과리더십 ,10017 
엘림교양,자기분석및진로설계 ,12983 
엘림교양,취업전략및역량강화 ,12986 
엘림교양,성인학습 및 상담 ,13338 
엘림교양,직업진로설계 ,13340 
엘림교양,평생교육경영론 ,13341 
엘림교양,평생교육실습 ,13343 
엘림교양,기업가정신과 창업 ,13351 
엘림교양,사회적기업과 창업 ,13352 
엘림교양,청년창업과 성공전략 ,13353 
엘림교양,e-business 창업 ,13354 
엘림교양,인적자원개발론 ,13373 
엘림교양,디지털사진개론 ,13393 
엘림교양,기초HSK ,13399 
엘림교양,국제 매너와 예절 ,13401 
엘림교양,소자본창업경영 ,13404 
엘림교양,외식산업창업 및 경영 ,13405 
엘림교양,창의성코칭 ,13563 
엘림교양,실용영어회화 ,13611 
엘림교양,핵심토익 ,13612 
엘림교양,토익어휘 ,13613 
엘림교양,영화로만나는교육이야기 ,13923 
엘림교양,IELTS입문 ,13965 
엘림교양,대학한문 ,14645 
엘림교양,영작문 ,14652 
엘림교양,N+후마니타스 ,19028 
엘림교양,사회봉사 ,20022 
엘림교양,평생교육방법론 ,13342 
엘림교양,청소년교육론 ,13377 
엘림교양,창조경제와성공창업 ,13376 
엘림교양,실전창업 ,13371 
엘림교양,소호창업 ,13368 
엘림교양,상담심리학 ,13367 
엘림교양,사회적경제와 창업 ,13366 
"엘림교양(인성,실용영역) ",교양합창2 ,00098 
한국어과정 ,태권도 ,00127 
한국어과정 ,한국어듣기1 ,13365 
한국어과정 ,한국어읽기1 ,13370 
한국어과정 ,한국문화의이해 ,13379 
한국어과정 ,한국어말하기1 ,13383 
한국어과정 ,한국어쓰기1 ,13385 
한국어과정 ,한국어문법1 ,13391 
한국어과정 ,한국실용음악의이해 ,13974 
한국어과정 ,한국어읽기2 ,13662 
한국어과정 ,한국어쓰기2 ,13663 
한국어과정 ,한국어문법2 ,12977 
한국어과정 ,한국어말하기2 ,13665 
한국어과정 ,한국어듣기2 ,13664 
한국어과정 ,한국사회의이해 ,13380 
군사학 ,북한학 ,00194 
군사학 ,국가안보론 ,12978 
군사학 ,전쟁사 ,12991 
군사학 ,안보학(군사학Ⅰ) ,13112 
군사학 ,조직리더십(군사학Ⅲ) ,13114 
군사학 ,조직리더십사례연구(군사학Ⅳ) ,13115 
군사학 ,안전및조직관리사례연구,13113 
군사학 ,무기체계론 ,12989 
교직 ,교육과정 ,09111 
교직 ,교육방법및교육공학 ,00060 
교직 ,교육봉사 ,08302 
교직 ,교육봉사 ,08302 
교직 ,교육사회 ,10202 
교직 ,교육심리 ,00041 
교직 ,교육철학및교육사 ,00042 
교직 ,교육평가 ,09030 
교직 ,교육학개론 ,00015 
교직 ,교육학개론 ,00015 
교직 ,교육행정및교육경영 ,44062 
교직 ,교직실무 ,10255 
교직 ,마이크로티칭 ,12988 
교직 ,특수교육학개론 ,10254 
교직 ,학교폭력예방의이론과실제 ,13406 
교직 ,학교폭력예방의이론과실제 ,13406 
